"Notes","Cancer Sites","Cancer Sites Code","Year","Year Code","Sex","Sex Code",Count,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"All Invasive Cancer Sites Combined","0","2014","2014","Male","M",840312,157523496,500.5,499.4,501.6,533.5,532.3,534.6
,"All Invasive Cancer Sites Combined","0","2015","2015","Female","F",848241,162903023,435.3,434.3,436.2,520.7,519.6,521.8
,"All Invasive Cancer Sites Combined","0","2015","2015","Male","M",865026,158933091,502.8,501.7,503.9,544.3,543.1,545.4
,"All Invasive Cancer Sites Combined","0","2016","2016","Female","F",858727,164062463,433.7,432.8,434.7,523.4,522.3,524.5
,"All Invasive Cancer Sites Combined","0","2016","2016","Male","M",881339,160310087,500.6,499.5,501.7,549.8,548.6,550.9
,"All Invasive Cancer Sites Combined","0","2017","2017","Female","F",869277,165084845,431.9,430.9,432.8,526.6,525.5,527.7
,"All Invasive Cancer Sites Combined","0","2017","2017","Male","M",905572,161530177,502.0,501.0,503.1,560.6,559.5,561.8
,"All Invasive Cancer Sites Combined","0","2018","2018","Female","F",884436,165957528,433.1,432.2,434.0,532.9,531.8,534.0
,"All Invasive Cancer Sites Combined","0","2018","2018","Male","M",922363,162577729,499.9,498.8,500.9,567.3,566.2,568.5
,"All Invasive Cancer Sites Combined","0","2019","2019","Female","F",907067,166720399,437.6,436.7,438.5,544.1,542.9,545.2
,"All Invasive Cancer Sites Combined","0","2019","2019","Male","M",951496,163511718,504.8,503.7,505.8,581.9,580.7,583.1
,"All Invasive Cancer Sites Combined","0","2020","2020","Female","F",839794,167308759,400.1,399.2,401.0,501.9,500.9,503.0
,"All Invasive Cancer Sites Combined","0","2020","2020","Male","M",878961,164218174,458.1,457.2,459.1,535.2,534.1,536.4
,"All Invasive Cancer Sites Combined","0","2021","2021","Female","F",918189,167630750,432.4,431.5,433.4,547.7,546.6,548.9
,"All Invasive Cancer Sites Combined","0","2021","2021","Male","M",951683,164418227,488.1,487.1,489.1,578.8,577.7,580.0
,"All Invasive Cancer Sites Combined","0","2022","2022","Female","F",907701,168308005,421.5,420.6,422.4,539.3,538.2,540.4
,"All Invasive Cancer Sites Combined","0","2022","2022","Male","M",943537,164963406,474.6,473.6,475.6,572.0,570.8,573.1
,"Oral Cavity and Pharynx","20010-20100","1999","1999","Female","F",9543,140394214,6.3,6.2,6.5,6.8,6.7,6.9
,"Oral Cavity and Pharynx","20010-20100","1999","1999","Male","M",19947,135067134,16.4,16.1,16.6,14.8,14.6,15.0
,"Oral Cavity and Pharynx","20010-20100","2000","2000","Female","F",9489,141865770,6.2,6.1,6.4,6.7,6.6,6.8
,"Oral Cavity and Pharynx","20010-20100","2000","2000","Male","M",20500,136692444,16.5,16.2,16.7,15.0,14.8,15.2
,"Oral Cavity and Pharynx","20010-20100","2001","2001","Female","F",9724,143603977,6.3,6.1,6.4,6.8,6.6,6.9
,"Oral Cavity and Pharynx","20010-20100","2001","2001","Male","M",20665,138511984,16.2,16.0,16.4,14.9,14.7,15.1
,"Oral Cavity and Pharynx","20010-20100","2002","2002","Female","F",9742,144919222,6.2,6.1,6.3,6.7,6.6,6.9
,"Oral Cavity and Pharynx","20010-20100","2002","2002","Male","M",21371,139847290,16.3,16.1,16.5,15.3,15.1,15.5
,"Oral Cavity and Pharynx","20010-20100","2003","2003","Female","F",9881,147679036,6.1,6.0,6.2,6.7,6.6,6.8
,"Oral Cavity and Pharynx","20010-20100","2003","2003","Male","M",22311,142428897,16.5,16.3,16.7,15.7,15.5,15.9
,"Oral Cavity and Pharynx","20010-20100","2004","2004","Female","F",9936,148977286,6.1,5.9,6.2,6.7,6.5,6.8
,"Oral Cavity and Pharynx","20010-20100","2004","2004","Male","M",22749,143828012,16.4,16.2,16.6,15.8,15.6,16.0
,"Oral Cavity and Pharynx","20010-20100","2005","2005","Female","F",10260,150213467,6.2,6.1,6.3,6.8,6.7,7.0
,"Oral Cavity and Pharynx","20010-20100","2005","2005","Male","M",22988,145099195,16.2,15.9,16.4,15.8,15.6,16.0
,"Oral Cavity and Pharynx","20010-20100","2006","2006","Female","F",10675,151732647,6.3,6.2,6.4,7.0,6.9,7.2
,"Oral Cavity and Pharynx","20010-20100","2006","2006","Male","M",23677,146647265,16.3,16.1,16.5,16.1,15.9,16.4
,"Oral Cavity and Pharynx","20010-20100","2007","2007","Female","F",10736,153166353,6.2,6.1,6.3,7.0,6.9,7.1
,"Oral Cavity and Pharynx","20010-20100","2007","2007","Male","M",25282,148064854,17.0,16.8,17.2,17.1,16.9,17.3
,"Oral Cavity and Pharynx","20010-20100","2008","2008","Female","F",11353,154604015,6.5,6.3,6.6,7.3,7.2,7.5
,"Oral Cavity and Pharynx","20010-20100","2008","2008","Male","M",26288,149489951,17.2,17.0,17.4,17.6,17.4,17.8
,"Oral Cavity and Pharynx","20010-20100","2009","2009","Female","F",11270,155964075,6.3,6.2,6.4,7.2,7.1,7.4
,"Oral Cavity and Pharynx","20010-20100","2009","2009","Male","M",27012,150807454,17.2,17.0,17.4,17.9,17.7,18.1
,"Oral Cavity and Pharynx","20010-20100","2010","2010","Female","F",11614,157253830,6.4,6.3,6.5,7.4,7.3,7.5
,"Oral Cavity and Pharynx","20010-20100","2010","2010","Male","M",27531,152125599,17.1,16.9,17.3,18.1,17.9,18.3
,"Oral Cavity and Pharynx","20010-20100","2011","2011","Female","F",11756,158391404,6.4,6.2,6.5,7.4,7.3,7.6
,"Oral Cavity and Pharynx","20010-20100","2011","2011","Male","M",29070,153455676,17.7,17.5,17.9,18.9,18.7,19.2
,"Oral Cavity and Pharynx","20010-20100","2012","2012","Female","F",12236,159515612,6.5,6.4,6.6,7.7,7.5,7.8
,"Oral Cavity and Pharynx","20010-20100","2012","2012","Male","M",29274,154834274,17.4,17.2,17.6,18.9,18.7,19.1
,"Oral Cavity and Pharynx","20010-20100","2013","2013","Female","F",12440,160594100,6.5,6.4,6.6,7.7,7.6,7.9
,"Oral Cavity and Pharynx","20010-20100","2013","2013","Male","M",30892,156146649,17.9,17.7,18.1,19.8,19.6,20.0
,"Oral Cavity and Pharynx","20010-20100","2014","2014","Female","F",12829,161749260,6.6,6.5,6.7,7.9,7.8,8.1
,"Oral Cavity and Pharynx","20010-20100","2014","2014","Male","M",31920,157523496,18.1,17.9,18.3,20.3,20.0,20.5
,"Oral Cavity and Pharynx","20010-20100","2015","2015","Female","F",13184,162903023,6.6,6.5,6.8,8.1,8.0,8.2
,"Oral Cavity and Pharynx","20010-20100","2015","2015","Male","M",32850,158933091,18.3,18.1,18.5,20.7,20.4,20.9
,"Oral Cavity and Pharynx","20010-20100","2016","2016","Female","F",13384,164062463,6.6,6.5,6.7,8.2,8.0,8.3
,"Oral Cavity and Pharynx","20010-20100","2016","2016","Male","M",33792,160310087,18.4,18.2,18.6,21.1,20.9,21.3
,"Oral Cavity and Pharynx","20010-20100","2017","2017","Female","F",13588,165084845,6.6,6.5,6.7,8.2,8.1,8.4
,"Oral Cavity and Pharynx","20010-20100","2017","2017","Male","M",34235,161530177,18.3,18.1,18.5,21.2,21.0,21.4
,"Oral Cavity and Pharynx","20010-20100","2018","2018","Female","F",14080,165957528,6.7,6.6,6.9,8.5,8.3,8.6
,"Oral Cavity and Pharynx","20010-20100","2018","2018","Male","M",35001,162577729,18.3,18.1,18.5,21.5,21.3,21.8
,"Oral Cavity and Pharynx","20010-20100","2019","2019","Female","F",14285,166720399,6.7,6.6,6.9,8.6,8.4,8.7
,"Oral Cavity and Pharynx","20010-20100","2019","2019","Male","M",36252,163511718,18.7,18.5,18.9,22.2,21.9,22.4
,"Oral Cavity and Pharynx","20010-20100","2020","2020","Female","F",13997,167308759,6.5,6.4,6.6,8.4,8.2,8.5
,"Oral Cavity and Pharynx","20010-20100","2020","2020","Male","M",34881,164218174,17.7,17.5,17.9,21.2,21.0,21.5
,"Oral Cavity and Pharynx","20010-20100","2021","2021","Female","F",14796,167630750,6.8,6.7,6.9,8.8,8.7,9.0
,"Oral Cavity and Pharynx","20010-20100","2021","2021","Male","M",36937,164418227,18.5,18.3,18.7,22.5,22.2,22.7
,"Oral Cavity and Pharynx","20010-20100","2022","2022","Female","F",14719,168308005,6.6,6.5,6.8,8.7,8.6,8.9
,"Oral Cavity and Pharynx","20010-20100","2022","2022","Male","M",36408,164963406,18.0,17.8,18.2,22.1,21.8,22.3
,"Lip","20010","1999","1999","Female","F",525,140394214,0.3,0.3,0.4,0.4,0.3,0.4
,"Lip","20010","1999","1999","Male","M",2058,135067134,1.8,1.7,1.8,1.5,1.5,1.6
,"Lip","20010","2000","2000","Female","F",556,141865770,0.4,0.3,0.4,0.4,0.4,0.4
,"Lip","20010","2000","2000","Male","M",1989,136692444,1.7,1.6,1.8,1.5,1.4,1.5
,"Lip","20010","2001","2001","Female","F",577,143603977,0.4,0.3,0.4,0.4,0.4,0.4
,"Lip","20010","2001","2001","Male","M",1883,138511984,1.6,1.5,1.6,1.4,1.3,1.4
,"Lip","20010","2002","2002","Female","F",587,144919222,0.4,0.3,0.4,0.4,0.4,0.4
,"Lip","20010","2002","2002","Male","M",1937,139847290,1.6,1.5,1.7,1.4,1.3,1.4
,"Lip","20010","2003","2003","Female","F",544,147679036,0.3,0.3,0.4,0.4,0.3,0.4
,"Lip","20010","2003","2003","Male","M",1677,142428897,1.3,1.3,1.4,1.2,1.1,1.2
,"Lip","20010","2004","2004","Female","F",530,148977286,0.3,0.3,0.3,0.4,0.3,0.4
,"Lip","20010","2004","2004","Male","M",1603,143828012,1.2,1.2,1.3,1.1,1.1,1.2
,"Lip","20010","2005","2005","Female","F",510,150213467,0.3,0.3,0.3,0.3,0.3,0.4
,"Lip","20010","2005","2005","Male","M",1558,145099195,1.2,1.1,1.2,1.1,1.0,1.1
,"Lip","20010","2006","2006","Female","F",565,151732647,0.3,0.3,0.4,0.4,0.3,0.4
,"Lip","20010","2006","2006","Male","M",1527,146647265,1.1,1.1,1.2,1.0,1.0,1.1
,"Lip","20010","2007","2007","Female","F",516,153166353,0.3,0.3,0.3,0.3,0.3,0.4
,"Lip","20010","2007","2007","Male","M",1562,148064854,1.1,1.1,1.2,1.1,1.0,1.1
,"Lip","20010","2008","2008","Female","F",569,154604015,0.3,0.3,0.3,0.4,0.3,0.4
,"Lip","20010","2008","2008","Male","M",1496,149489951,1.1,1.0,1.1,1.0,1.0,1.1
,"Lip","20010","2009","2009","Female","F",538,155964075,0.3,0.3,0.3,0.3,0.3,0.4
,"Lip","20010","2009","2009","Male","M",1500,150807454,1.0,1.0,1.1,1.0,0.9,1.0
,"Lip","20010","2010","2010","Female","F",584,157253830,0.3,0.3,0.3,0.4,0.3,0.4
,"Lip","20010","2010","2010","Male","M",1576,152125599,1.1,1.0,1.1,1.0,1.0,1.1
,"Lip","20010","2011","2011","Female","F",571,158391404,0.3,0.3,0.3,0.4,0.3,0.4
,"Lip","20010","2011","2011","Male","M",1546,153455676,1.0,1.0,1.1,1.0,1.0,1.1
,"Lip","20010","2012","2012","Female","F",509,159515612,0.3,0.2,0.3,0.3,0.3,0.3
,"Lip","20010","2012","2012","Male","M",1454,154834274,0.9,0.9,1.0,0.9,0.9,1.0
,"Lip","20010","2013","2013","Female","F",570,160594100,0.3,0.3,0.3,0.4,0.3,0.4
,"Lip","20010","2013","2013","Male","M",1510,156146649,1.0,0.9,1.0,1.0,0.9,1.0
,"Lip","20010","2014","2014","Female","F",593,161749260,0.3,0.3,0.3,0.4,0.3,0.4
,"Lip","20010","2014","2014","Male","M",1486,157523496,0.9,0.9,1.0,0.9,0.9,1.0
,"Lip","20010","2015","2015","Female","F",610,162903023,0.3,0.3,0.3,0.4,0.3,0.4
,"Lip","20010","2015","2015","Male","M",1543,158933091,0.9,0.9,1.0,1.0,0.9,1.0
,"Lip","20010","2016","2016","Female","F",557,164062463,0.3,0.2,0.3,0.3,0.3,0.4
,"Lip","20010","2016","2016","Male","M",1437,160310087,0.8,0.8,0.9,0.9,0.9,0.9
,"Lip","20010","2017","2017","Female","F",572,165084845,0.3,0.3,0.3,0.3,0.3,0.4
,"Lip","20010","2017","2017","Male","M",1424,161530177,0.8,0.8,0.9,0.9,0.8,0.9
,"Lip","20010","2018","2018","Female","F",558,165957528,0.3,0.2,0.3,0.3,0.3,0.4
,"Lip","20010","2018","2018","Male","M",1312,162577729,0.7,0.7,0.8,0.8,0.8,0.9
,"Lip","20010","2019","2019","Female","F",521,166720399,0.2,0.2,0.3,0.3,0.3,0.3
,"Lip","20010","2019","2019","Male","M",1347,163511718,0.7,0.7,0.8,0.8,0.8,0.9
,"Lip","20010","2020","2020","Female","F",559,167308759,0.2,0.2,0.3,0.3,0.3,0.4
,"Lip","20010","2020","2020","Male","M",1221,164218174,0.7,0.6,0.7,0.7,0.7,0.8
,"Lip","20010","2021","2021","Female","F",607,167630750,0.3,0.2,0.3,0.4,0.3,0.4
,"Lip","20010","2021","2021","Male","M",1333,164418227,0.7,0.7,0.7,0.8,0.8,0.9
,"Lip","20010","2022","2022","Female","F",567,168308005,0.2,0.2,0.3,0.3,0.3,0.4
,"Lip","20010","2022","2022","Male","M",1222,164963406,0.6,0.6,0.7,0.7,0.7,0.8
,"Tongue","20020","1999","1999","Female","F",2309,140394214,1.5,1.5,1.6,1.6,1.6,1.7
,"Tongue","20020","1999","1999","Male","M",4756,135067134,3.9,3.7,4.0,3.5,3.4,3.6
,"Tongue","20020","2000","2000","Female","F",2358,141865770,1.6,1.5,1.6,1.7,1.6,1.7
,"Tongue","20020","2000","2000","Male","M",4977,136692444,3.9,3.8,4.0,3.6,3.5,3.7
,"Tongue","20020","2001","2001","Female","F",2405,143603977,1.6,1.5,1.6,1.7,1.6,1.7
,"Tongue","20020","2001","2001","Male","M",5150,138511984,4.0,3.9,4.1,3.7,3.6,3.8
,"Tongue","20020","2002","2002","Female","F",2544,144919222,1.6,1.6,1.7,1.8,1.7,1.8
,"Tongue","20020","2002","2002","Male","M",5497,139847290,4.1,4.0,4.2,3.9,3.8,4.0
,"Tongue","20020","2003","2003","Female","F",2516,147679036,1.6,1.5,1.6,1.7,1.6,1.8
,"Tongue","20020","2003","2003","Male","M",5934,142428897,4.3,4.2,4.4,4.2,4.1,4.3
,"Tongue","20020","2004","2004","Female","F",2609,148977286,1.6,1.5,1.7,1.8,1.7,1.8
,"Tongue","20020","2004","2004","Male","M",6190,143828012,4.4,4.3,4.5,4.3,4.2,4.4
,"Tongue","20020","2005","2005","Female","F",2716,150213467,1.6,1.6,1.7,1.8,1.7,1.9
,"Tongue","20020","2005","2005","Male","M",6340,145099195,4.4,4.3,4.5,4.4,4.3,4.5
,"Tongue","20020","2006","2006","Female","F",2920,151732647,1.7,1.7,1.8,1.9,1.9,2.0
,"Tongue","20020","2006","2006","Male","M",6590,146647265,4.4,4.3,4.6,4.5,4.4,4.6
,"Tongue","20020","2007","2007","Female","F",2982,153166353,1.7,1.7,1.8,1.9,1.9,2.0
,"Tongue","20020","2007","2007","Male","M",7289,148064854,4.8,4.7,4.9,4.9,4.8,5.0
,"Tongue","20020","2008","2008","Female","F",3319,154604015,1.9,1.8,2.0,2.1,2.1,2.2
,"Tongue","20020","2008","2008","Male","M",7746,149489951,5.0,4.9,5.1,5.2,5.1,5.3
,"Tongue","20020","2009","2009","Female","F",3237,155964075,1.8,1.7,1.9,2.1,2.0,2.1
,"Tongue","20020","2009","2009","Male","M",8006,150807454,5.0,4.9,5.1,5.3,5.2,5.4
,"Tongue","20020","2010","2010","Female","F",3333,157253830,1.8,1.8,1.9,2.1,2.0,2.2
,"Tongue","20020","2010","2010","Male","M",8041,152125599,4.9,4.8,5.0,5.3,5.2,5.4
,"Tongue","20020","2011","2011","Female","F",3432,158391404,1.8,1.8,1.9,2.2,2.1,2.2
,"Tongue","20020","2011","2011","Male","M",8871,153455676,5.3,5.2,5.4,5.8,5.7,5.9
,"Tongue","20020","2012","2012","Female","F",3692,159515612,2.0,1.9,2.0,2.3,2.2,2.4
,"Tongue","20020","2012","2012","Male","M",9138,154834274,5.3,5.2,5.4,5.9,5.8,6.0
,"Tongue","20020","2013","2013","Female","F",3712,160594100,1.9,1.9,2.0,2.3,2.2,2.4
,"Tongue","20020","2013","2013","Male","M",9499,156146649,5.4,5.3,5.5,6.1,6.0,6.2
,"Tongue","20020","2014","2014","Female","F",3800,161749260,1.9,1.9,2.0,2.3,2.3,2.4
,"Tongue","20020","2014","2014","Male","M",10123,157523496,5.6,5.5,5.7,6.4,6.3,6.6
,"Tongue","20020","2015","2015","Female","F",3931,162903023,2.0,1.9,2.0,2.4,2.3,2.5
,"Tongue","20020","2015","2015","Male","M",10405,158933091,5.7,5.6,5.8,6.5,6.4,6.7
,"Tongue","20020","2016","2016","Female","F",4188,164062463,2.1,2.0,2.1,2.6,2.5,2.6
,"Tongue","20020","2016","2016","Male","M",10851,160310087,5.8,5.7,5.9,6.8,6.6,6.9
,"Tongue","20020","2017","2017","Female","F",4211,165084845,2.1,2.0,2.1,2.6,2.5,2.6
,"Tongue","20020","2017","2017","Male","M",11129,161530177,5.8,5.7,6.0,6.9,6.8,7.0
,"Tongue","20020","2018","2018","Female","F",4334,165957528,2.1,2.0,2.1,2.6,2.5,2.7
,"Tongue","20020","2018","2018","Male","M",11434,162577729,5.9,5.8,6.0,7.0,6.9,7.2
,"Tongue","20020","2019","2019","Female","F",4497,166720399,2.1,2.0,2.2,2.7,2.6,2.8
,"Tongue","20020","2019","2019","Male","M",11752,163511718,5.9,5.8,6.0,7.2,7.1,7.3
,"Tongue","20020","2020","2020","Female","F",4530,167308759,2.1,2.0,2.2,2.7,2.6,2.8
,"Tongue","20020","2020","2020","Male","M",11658,164218174,5.8,5.7,5.9,7.1,7.0,7.2
,"Tongue","20020","2021","2021","Female","F",4958,167630750,2.3,2.2,2.3,3.0,2.9,3.0
,"Tongue","20020","2021","2021","Male","M",12129,164418227,6.0,5.9,6.1,7.4,7.2,7.5
,"Tongue","20020","2022","2022","Female","F",4891,168308005,2.2,2.1,2.3,2.9,2.8,3.0
,"Tongue","20020","2022","2022","Male","M",12028,164963406,5.9,5.7,6.0,7.3,7.2,7.4
,"Salivary Gland","20030","1999","1999","Female","F",1342,140394214,0.9,0.8,0.9,1.0,0.9,1.0
,"Salivary Gland","20030","1999","1999","Male","M",1858,135067134,1.6,1.5,1.7,1.4,1.3,1.4
,"Salivary Gland","20030","2000","2000","Female","F",1404,141865770,0.9,0.9,1.0,1.0,0.9,1.0
,"Salivary Gland","20030","2000","2000","Male","M",1967,136692444,1.7,1.6,1.7,1.4,1.4,1.5
,"Salivary Gland","20030","2001","2001","Female","F",1421,143603977,0.9,0.9,1.0,1.0,0.9,1.0
,"Salivary Gland","20030","2001","2001","Male","M",1992,138511984,1.7,1.6,1.7,1.4,1.4,1.5
,"Salivary Gland","20030","2002","2002","Female","F",1459,144919222,0.9,0.9,1.0,1.0,1.0,1.1
,"Salivary Gland","20030","2002","2002","Male","M",1959,139847290,1.6,1.5,1.7,1.4,1.3,1.5
,"Salivary Gland","20030","2003","2003","Female","F",1449,147679036,0.9,0.9,1.0,1.0,0.9,1.0
,"Salivary Gland","20030","2003","2003","Male","M",2137,142428897,1.7,1.6,1.8,1.5,1.4,1.6
,"Salivary Gland","20030","2004","2004","Female","F",1563,148977286,1.0,0.9,1.0,1.0,1.0,1.1
,"Salivary Gland","20030","2004","2004","Male","M",2072,143828012,1.6,1.5,1.7,1.4,1.4,1.5
,"Salivary Gland","20030","2005","2005","Female","F",1570,150213467,1.0,0.9,1.0,1.0,1.0,1.1
,"Salivary Gland","20030","2005","2005","Male","M",2218,145099195,1.7,1.6,1.8,1.5,1.5,1.6
,"Salivary Gland","20030","2006","2006","Female","F",1612,151732647,1.0,0.9,1.0,1.1,1.0,1.1
,"Salivary Gland","20030","2006","2006","Male","M",2295,146647265,1.7,1.6,1.8,1.6,1.5,1.6
,"Salivary Gland","20030","2007","2007","Female","F",1635,153166353,1.0,0.9,1.0,1.1,1.0,1.1
,"Salivary Gland","20030","2007","2007","Male","M",2345,148064854,1.7,1.6,1.8,1.6,1.5,1.6
,"Salivary Gland","20030","2008","2008","Female","F",1667,154604015,1.0,0.9,1.0,1.1,1.0,1.1
,"Salivary Gland","20030","2008","2008","Male","M",2427,149489951,1.7,1.7,1.8,1.6,1.6,1.7
,"Salivary Gland","20030","2009","2009","Female","F",1726,155964075,1.0,0.9,1.0,1.1,1.1,1.2
,"Salivary Gland","20030","2009","2009","Male","M",2450,150807454,1.7,1.7,1.8,1.6,1.6,1.7
,"Salivary Gland","20030","2010","2010","Female","F",1724,157253830,1.0,0.9,1.0,1.1,1.0,1.1
,"Salivary Gland","20030","2010","2010","Male","M",2469,152125599,1.7,1.6,1.8,1.6,1.6,1.7
,"Salivary Gland","20030","2011","2011","Female","F",1665,158391404,0.9,0.9,1.0,1.1,1.0,1.1
,"Salivary Gland","20030","2011","2011","Male","M",2559,153455676,1.7,1.7,1.8,1.7,1.6,1.7
,"Salivary Gland","20030","2012","2012","Female","F",1923,159515612,1.1,1.0,1.1,1.2,1.2,1.3
,"Salivary Gland","20030","2012","2012","Male","M",2528,154834274,1.7,1.6,1.7,1.6,1.6,1.7
,"Salivary Gland","20030","2013","2013","Female","F",1859,160594100,1.0,1.0,1.1,1.2,1.1,1.2
,"Salivary Gland","20030","2013","2013","Male","M",2758,156146649,1.8,1.7,1.8,1.8,1.7,1.8
,"Salivary Gland","20030","2014","2014","Female","F",1977,161749260,1.1,1.0,1.1,1.2,1.2,1.3
,"Salivary Gland","20030","2014","2014","Male","M",2723,157523496,1.7,1.6,1.8,1.7,1.7,1.8
,"Salivary Gland","20030","2015","2015","Female","F",1942,162903023,1.0,1.0,1.1,1.2,1.1,1.2
,"Salivary Gland","20030","2015","2015","Male","M",2850,158933091,1.8,1.7,1.8,1.8,1.7,1.9
,"Salivary Gland","20030","2016","2016","Female","F",1968,164062463,1.0,1.0,1.1,1.2,1.1,1.3
,"Salivary Gland","20030","2016","2016","Male","M",2798,160310087,1.7,1.6,1.8,1.7,1.7,1.8
,"Salivary Gland","20030","2017","2017","Female","F",2042,165084845,1.1,1.0,1.1,1.2,1.2,1.3
,"Salivary Gland","20030","2017","2017","Male","M",2779,161530177,1.6,1.6,1.7,1.7,1.7,1.8
,"Salivary Gland","20030","2018","2018","Female","F",2119,165957528,1.1,1.0,1.1,1.3,1.2,1.3
,"Salivary Gland","20030","2018","2018","Male","M",3000,162577729,1.7,1.7,1.8,1.8,1.8,1.9
,"Salivary Gland","20030","2019","2019","Female","F",2146,166720399,1.1,1.0,1.1,1.3,1.2,1.3
,"Salivary Gland","20030","2019","2019","Male","M",3074,163511718,1.8,1.7,1.8,1.9,1.8,1.9
,"Salivary Gland","20030","2020","2020","Female","F",1980,167308759,1.0,0.9,1.0,1.2,1.1,1.2
,"Salivary Gland","20030","2020","2020","Male","M",2841,164218174,1.6,1.5,1.6,1.7,1.7,1.8
,"Salivary Gland","20030","2021","2021","Female","F",2107,167630750,1.0,1.0,1.1,1.3,1.2,1.3
,"Salivary Gland","20030","2021","2021","Male","M",3023,164418227,1.7,1.6,1.7,1.8,1.8,1.9
,"Salivary Gland","20030","2022","2022","Female","F",2115,168308005,1.0,1.0,1.1,1.3,1.2,1.3
,"Salivary Gland","20030","2022","2022","Male","M",2910,164963406,1.6,1.5,1.6,1.8,1.7,1.8
,"Floor of Mouth","20040","1999","1999","Female","F",718,140394214,0.5,0.4,0.5,0.5,0.5,0.6
